   yymm   ddhh    dir  speed   PASQ   TEMP
   1901    101     40     21     60    113
   1901    102     50     19     60    113
   1901    103     30     37     40    114
   1901    104    360     28     50    111
   1901    105     10     43     40    106
   1901    106    360     43     40    106
   1901    107    330     25     50    104
   1901    108     10     89     40    103
   1901    109   9999     24     40    108
   1901    110     50     21     20    122
   1901    111     20     36     25    133
   1901    112     20     38     25    140
   1901    113     30     43     25    151
   1901    114     20     53     35    156
   1901    115     20     45     25    159
   1901    116     20     50     35    158
   1901    117     10     49     40    157
   1901    118    360     24     50    154
   1901    119     20     38     40    152
   1901    120     20     30     40    151
   1901    121    350     24     50    149
   1901    122     60     15     60    148
   1901    123     20     28     50    148
   1901    124    360     28     50    144
   1901    201     20     37     40    140
   1901    202     10     15     60    136
   1901    203     10     37     40    134
   1901    204     20     51     40    131
   1901    205     20     43     40    127
   1901    206     10     38     40    129
   1901    207     20     49     40    130
   1901    208     20     59     40    128
   1901    209     10     53     40    128
   1901    210     20     25     30    135
   1901    211     20     24     30    140
   1901    212     10     66     40    138
   1901    213     20     41     30    148
   1901    214     10     49     25    153
   1901    215    360     51     40    156
   1901    216    360     44     30    158
   1901    217     10     36     40    157
   1901    218     20     32     40    155
   1901    219     20     38     40    148
   1901    220     10     39     40    146
   1901    221     10     39     40    145
   1901    222     20     55     40    140
   1901    223     10     51     40    140
   1901    224     20     58     40    140
   1901    301     20     56     40    143
   1901    302     20     58     40    143
   1901    303     10     44     40    141
   1901    304     10     50     40    141
   1901    305     20     48     40    139
   1901    306     20     56     40    139
   1901    307     20     51     40    136
   1901    308     20     48     40    137
   1901    309     30     54     40    136
   1901    310     30     61     40    137
   1901    311     20     44     30    138
   1901    312     20     27     30    144
   1901    313     20     35     30    151
   1901    314     30     41     30    152
   1901    315     20     39     30    154
   1901    316     10     24     40    157
   1901    317     30     27     40    158
   1901    318     30     35     40    158
   1901    319     30     13     40    160
   1901    320   9999      1     40    162
   1901    321    320     13     40    164
   1901    322    320      7     60    169
   1901    323   9999      2     60    168
   1901    324   9999      1     60    165
   1901    401    300      3     60    168
   1901    402     90      6     60    170
   1901    403    160     10     60    168
   1901    404   9999      1     60    168
   1901    405    310      7     60    166
   1901    406   9999      2     60    168
   1901    407    210      3     60    169
   1901    408    250      6     60    172
   1901    409     70      9     40    177
   1901    410     50     14     20    182
   1901    411    130     24     20    187
   1901    412    190      8     15    195
   1901    413    250      5     15    202
   1901    414    140     14     15    206
   1901    415    140      7     20    205
   1901    416    220      7     20    208
   1901    417    190     25     40    194
   1901    418    190      7     60    191
   1901    419   9999      1     60    189
   1901    420   9999      1     60    187
   1901    421     10     10     60    185
   1901    422   9999      1     60    185
   1901    423      0      0     60    185
   1901    424   9999      1     60    185
   1901    501    160      1     60    185
   1901    502   9999      1     60    184
   1901    503   9999      3     60    183
   1901    504   9999      3     60    185
   1901    505   9999      1     60    187
   1901    506   9999      3     60    188
   1901    507    190      3     60    188
   1901    508    200      5     60    191
   1901    509   9999      3     40    195
   1901    510     30      5     60    196
   1901    511     60      5     20    201
   1901    512     40      2     15    213
   1901    513     30     20     20    216
   1901    514   9999      4     15    224
   1901    515    170     23     30    222
   1901    516    190     19     20    210
   1901    517    170      1     40    211
   1901    518    190      1     60    212
   1901    519    310     15     60    217
   1901    520    220      9     60    217
   1901    521    180      4     60    211
   1901    522    160     13     60    210
   1901    523    260     10     60    209
   1901    524    230      6     60    209
   1901    601     40     31     40    200
   1901    602     50     19     60    196
   1901    603     20     23     50    195
   1901    604    360     35     40    185
   1901    605    340     24     50    182
   1901    606   9999      8     60    184
   1901    607     10     58     40    175
   1901    608     30     46     40    173
   1901    609     10     39     40    173
   1901    610     30     57     40    174
   1901    611     20     34     30    178
   1901    612     20     49     30    173
   1901    613     30     47     30    166
   1901    614     30     11     20    168
   1901    615     30     19     20    174
   1901    616     40     17     60    177
   1901    617     30     19     40    179
   1901    618     40     16     60    179
   1901    619     70     14     60    175
   1901    620    250     12     60    168
   1901    621     10      6     60    167
   1901    622     50      3     60    170
   1901    623    210      1     60    171
   1901    624    170      9     60    173
   1901    701    150     29     50    177
   1901    702     90     20     50    176
   1901    703     70     15     60    176
   1901    704    130     10     60    176
   1901    705    110     18     60    175
   1901    706    110     21     50    174
   1901    707    130     18     60    174
   1901    708    150     18     60    175
   1901    709    130     27     40    177
   1901    710    110     24     30    177
   1901    711    120     27     30    179
   1901    712    120     21     20    179
   1901    713    180     24     20    195
   1901    714    180     30     25    192
   1901    715    180     18     20    194
   1901    716    180     20     30    195
   1901    717    170     27     40    186
   1901    718    180     11     60    184
   1901    719    200      2     60    182
   1901    720    210      1     60    183
   1901    721    160     13     60    182
   1901    722    230      2     60    182
   1901    723   9999      1     60    182
   1901    724   9999      1     60    181
   1901    801   9999      1     60    181
   1901    802     10      1     60    182
   1901    803     30     35     40    184
   1901    804   9999      6     60    186
   1901    805     80     17     60    189
   1901    806    360     24     50    186
   1901    807     20     35     40    189
   1901    808     10     19     60    190
   1901    809     20     42     40    189
   1901    810     60     15     20    190
   1901    811    160      5     20    198
   1901    812     80     12     15    201
   1901    813    100     21     30    199
   1901    814    130     25     30    197
   1901    815     90     22     30    192
   1901    816    200     16     20    196
   1901    817    180     15     40    191
   1901    818    220      6     60    188
   1901    819    180     12     60    187
   1901    820     80     12     60    186
   1901    821     40     20     50    185
   1901    822     20     12     60    184
   1901    823     40     23     50    177
   1901    824     60     14     60    177
   1901    901    110      6     60    177
   1901    902     50     17     60    175
   1901    903     80      5     60    174
   1901    904     70      5     60    173
   1901    905     30     15     60    173
   1901    906     50     11     60    171
   1901    907     10     23     50    169
   1901    908     10     18     60    168
   1901    909     30     25     40    169
   1901    910     90      9     20    173
   1901    911     30      7     20    177
   1901    912    110     22     30    179
   1901    913    100     10     20    178
   1901    914    130     28     20    178
   1901    915    100     37     25    178
   1901    916    100     23     20    177
   1901    917    150     18     40    177
   1901    918    150     25     55    175
   1901    919    140     21     55    176
   1901    920    130     19     60    176
   1901    921    100     32     45    176
   1901    922    120     24     55    177
   1901    923    120     30     45    176
   1901    924    120     30     45    176
   1901   1001     70     20     55    176
   1901   1002     90     36     45    175
   1901   1003    140     13     60    170
   1901   1004    110     10     60    172
   1901   1005    130      6     60    173
   1901   1006     30      3     60    174
   1901   1007      0      0     60    173
   1901   1008   9999      1     60    177
   1901   1009    150      2     40    180
   1901   1010    170      4     15    186
   1901   1011    190     17     15    199
   1901   1012    200     12     15    208
