   yymm   ddhh    dir  speed   PASQ   TEMP
   1701   1009    100     46     40    188
   1701   1010     80     56     40    191
   1701   1011     80     60     40    192
   1701   1012     90     53     35    193
   1701   1013    110     38     20    194
   1701   1014    120     38     25    194
   1701   1015    140     27     20    191
   1701   1016    110     23     20    191
   1701   1017    110     22     40    190
   1701   1018    100     17     60    187
   1701   1019     90      6     60    186
   1701   1020    110     14     60    187
   1701   1021    100     15     60    189
   1701   1022    100      9     60    189
   1701   1023     90     31     40    190
   1701   1024     90     45     40    190
   1701   1101     90     47     40    187
   1701   1102     80     49     40    187
   1701   1103     70     47     40    187
   1701   1104     70     69     40    187
   1701   1105     60     52     40    185
   1701   1106     60     54     40    184
   1701   1107     40     30     45    181
   1701   1108   9999      3     60    178
   1701   1109     50     17     40    184
   1701   1110     80     29     20    191
   1701   1111    100     38     25    190
   1701   1112    100     31     25    188
   1701   1113    100     30     30    189
   1701   1114    120     14     20    188
   1701   1115    100     19     20    189
   1701   1116     80     20     30    189
   1701   1117     80     30     40    187
   1701   1118     60     19     40    187
   1701   1119     40      9     40    187
   1701   1120     40     15     40    189
   1701   1121     70     22     40    190
   1701   1122     60     21     40    191
   1701   1123    100     19     40    190
   1701   1124     80     22     40    189
   1701   1201     90     22     40    189
   1701   1202    100     32     40    188
   1701   1203     60     40     40    188
   1701   1204     60     30     40    188
   1701   1205     90     33     40    187
   1701   1206     30     31     40    185
   1701   1207     30     28     40    183
   1701   1208     20     26     40    184
   1701   1209     20     19     40    184
   1701   1210   9999      1     40    188
   1701   1211     30     15     40    189
   1701   1212     20     29     30    191
   1701   1213     20     30     30    193
   1701   1214     20     33     30    194
   1701   1215     30     34     40    189
   1701   1216     30     39     40    186
   1701   1217     30     33     40    183
   1701   1218     30     45     40    177
   1701   1219     30     39     40    167
   1701   1220     20     43     40    161
   1701   1221     10     33     40    158
   1701   1222     20     26     50    155
   1701   1223     30     56     40    153
   1701   1224     10     36     40    151
   1701   1301    340     28     40    149
   1701   1302    360     30     40    151
   1701   1303    340     33     40    149
   1701   1304    310     25     40    146
   1701   1305    320     19     60    145
   1701   1306    360     33     40    146
   1701   1307     20     20     50    139
   1701   1308    210      8     60    139
   1701   1309     10     24     40    137
   1701   1310     20     56     40    137
   1701   1311     30     52     40    141
   1701   1312     20     48     40    144
   1701   1313   9999     22     30    148
   1701   1314     20     44     30    147
   1701   1315     30     26     30    146
   1701   1316     10     35     40    148
   1701   1317     40     37     40    144
   1701   1318   9999      5     60    147
   1701   1319     20     30     40    147
   1701   1320     20     35     40    143
   1701   1321     10     30     40    143
   1701   1322     30     29     50    145
   1701   1323     20     26     50    144
   1701   1324     30     32     40    145
   1701   1401     20     35     40    144
   1701   1402     30     48     40    145
   1701   1403     20     42     40    141
   1701   1404     20     47     40    138
   1701   1405     30     48     40    140
   1701   1406     30     46     40    134
   1701   1407     20     35     40    132
   1701   1408     30     54     40    132
   1701   1409     10     32     40    133
   1701   1410     20     29     50    140
   1701   1411     20     29     30    143
   1701   1412     10     31     30    145
   1701   1413     20     32     30    152
   1701   1414     20     16     20    156
   1701   1415     20     12     20    155
   1701   1416     30     14     60    155
   1701   1417     20     25     40    156
   1701   1418     10     30     40    152
   1701   1419    360     25     50    153
   1701   1420     10     21     50    153
   1701   1421    360     30     40    152
   1701   1422    360     23     50    153
   1701   1423     20     27     50    155
   1701   1424     30     21     50    156
   1701   1501     20     29     50    157
   1701   1502     10     22     50    158
   1701   1503    360     24     50    152
   1701   1504    360     30     40    150
   1701   1505     20     44     40    145
   1701   1506     10     42     40    142
   1701   1507     10     45     40    136
   1701   1508    350     28     50    133
   1701   1509     10     35     40    133
   1701   1510     10     18     60    139
   1701   1511     10     18     60    144
   1701   1512     20     36     30    145
   1701   1513    360     34     40    144
   1701   1514     20     27     30    154
   1701   1515     20     31     30    157
   1701   1516     10     59     40    152
   1701   1517    360     37     40    149
   1701   1518     10     20     40    148
   1701   1519     20     24     40    149
   1701   1520     20     16     40    149
   1701   1521     30     21     40    149
   1701   1522     20     35     40    144
   1701   1523     20     22     40    147
   1701   1524     20     33     40    149
   1701   1601     20     30     40    147
   1701   1602    360     36     40    146
   1701   1603     20     34     40    145
   1701   1604     20     33     40    143
   1701   1605    360     31     40    140
   1701   1606    360     28     50    140
   1701   1607    360     25     50    141
   1701   1608     20     22     50    138
   1701   1609     20     40     40    133
   1701   1610     30     23     30    143
   1701   1611     10     21     30    154
   1701   1612     50     22     30    163
   1701   1613     70     58     35    166
   1701   1614     70     51     40    167
   1701   1615     70     49     30    170
   1701   1616     70     50     40    171
   1701   1617     70     55     40    171
   1701   1618     80     41     40    171
   1701   1619    100     45     40    172
   1701   1620    100     57     40    174
   1701   1621    100     56     40    176
   1701   1622    100     51     40    175
   1701   1623     80     59     40    174
   1701   1624     80     61     40    173
   1701   1701     70     61     40    173
   1701   1702     50     51     40    170
   1701   1703     70     75     40    170
   1701   1704     50     40     40    169
   1701   1705     50     32     40    169
   1701   1706    320      9     60    165
   1701   1707     10     29     50    163
   1701   1708     10     24     50    163
   1701   1709     20     27     40    168
   1701   1710    100      8     15    176
   1701   1711     80     54     35    179
   1701   1712     90     44     25    180
   1701   1713     70     53     35    181
   1701   1714    120     20     20    183
   1701   1715     80     19     15    182
   1701   1716     90     23     30    181
   1701   1717    110      1     40    180
   1701   1718    160     11     60    178
   1701   1719     90     13     60    180
   1701   1720     50     10     60    180
   1701   1721     70     34     40    183
   1701   1722     50     23     50    182
   1701   1723     70     22     50    183
   1701   1724     60     35     40    182
   1701   1801     60     22     50    181
   1701   1802    110     27     50    179
   1701   1803    100     24     50    180
   1701   1804    160     11     60    180
   1701   1805    240     12     60    178
   1701   1806     80      2     60    178
   1701   1807    250      9     60    177
   1701   1808     30     14     60    181
   1701   1809     80     28     40    186
   1701   1810     40     10     20    192
   1701   1811     60     23     30    192
   1701   1812   9999      1     20    195
   1701   1813    360     26     30    192
   1701   1814     20     26     30    193
   1701   1815     20     10     20    195
   1701   1816     20     26     50    196
   1701   1817     20     29     40    192
   1701   1818     20     28     50    189
   1701   1819     20     32     40    186
   1701   1820     30     29     50    186
   1701   1821     40     19     60    186
   1701   1822      0      0     60    185
   1701   1823     70      9     60    184
   1701   1824    120      1     60    184
   1701   1901      0      0     60    183
   1701   1902      0      0     60    183
   1701   1903      0      0     60    183
   1701   1904     90      3     60    184
   1701   1905    320      2     60    183
   1701   1906    210      6     60    182
   1701   1907      0      0     60    181
   1701   1908      0      0     60    184
   1701   1909      0      0     40    193
   1701   1910    180      4     15    203
   1701   1911    190     17     15    216
   1701   1912    180     29     15    218
   1701   1913    180     36     20    211
   1701   1914    180     18     10    221
   1701   1915    170     46     25    210
   1701   1916    180     26     20    203
   1701   1917    180     24     40    199
   1701   1918    190     22     55    196
   1701   1919    200      7     60    191
   1701   1920    170      4     60    188
   1701   1921      0      0     60    185
   1701   1922      0      0     60    185
   1701   1923      0      0     60    189
   1701   1924     10     33     40    197
   1701   2001    340     25     50    192
   1701   2002    350     32     40    186
   1701   2003     10     59     40    175
   1701   2004    260     39     40    168
   1701   2005   9999     15     60    158
   1701   2006     10     21     50    152
   1701   2007     20     38     40    152
   1701   2008    360     31     40    153
   1701   2009     30     28     40    162
   1701   2010    340     27     20    165
   1701   2011     20     68     40    171
   1701   2012     30     51     30    180
   1701   2013     20     53     30    182
   1701   2014     20     45     20    188
