   yymm   ddhh    dir  speed   PASQ   TEMP
   1601    101     80     62     40    180
   1601    102     80     51     40    180
   1601    103     80     52     40    177
   1601    104     70     39     40    176
   1601    105     70     45     40    175
   1601    106     70     51     40    174
   1601    107     60     41     40    171
   1601    108     70     30     45    169
   1601    109     80     41     40    175
   1601    110    100     37     25    177
   1601    111    120     22     20    180
   1601    112    120     26     15    183
   1601    113    170     43     20    187
   1601    114    180     39     20    187
   1601    115    200     20     20    188
   1601    116    190     25     20    182
   1601    117    200     14     40    183
   1601    118    240      8     60    177
   1601    119    310      4     60    168
   1601    120    190      6     60    165
   1601    121     20      3     60    167
   1601    122    330      6     60    163
   1601    123     10      4     60    158
   1601    124   9999      3     60    155
   1601    201    310      7     60    153
   1601    202    310     11     60    154
   1601    203    290     12     60    153
   1601    204   9999      3     60    151
   1601    205      0      0     60    154
   1601    206    360     11     60    162
   1601    207    320      1     60    161
   1601    208     30      5     60    166
   1601    209     40     45     40    181
   1601    210     40     42     30    190
   1601    211    130      5     20    192
   1601    212    180     26     20    201
   1601    213    190     19     15    203
   1601    214    180     33     30    200
   1601    215    190     24     30    203
   1601    216    170     20     30    197
   1601    217    120     10     40    191
   1601    218    110     14     60    188
   1601    219    140      4     60    187
   1601    220    240      4     60    184
   1601    221   9999      1     60    181
   1601    222   9999      1     60    182
   1601    223    290      2     60    183
   1601    224   9999      1     60    183
   1601    301    290      2     60    181
   1601    302    170      3     60    182
   1601    303    260      1     60    180
   1601    304    260      1     60    179
   1601    305   9999      1     60    177
   1601    306   9999      1     60    176
   1601    307      0      0     60    176
   1601    308   9999      1     60    177
   1601    309   9999      1     40    181
   1601    310    190     11     20    185
   1601    311    190     10     20    188
   1601    312    180      6     20    191
   1601    313      0      0     20    192
   1601    314   9999      1     20    193
   1601    315   9999      1     20    197
   1601    316    190      3     20    200
   1601    317    160      6     40    197
   1601    318    190      9     60    196
   1601    319    200      9     60    194
   1601    320    240     12     60    193
   1601    321    220     11     60    193
   1601    322    100     35     40    193
   1601    323     60      4     60    192
   1601    324   9999      2     60    191
   1601    401    240      2     60    190
   1601    402    200      2     60    190
   1601    403   9999      1     60    189
   1601    404    190      6     60    190
   1601    405   9999      2     60    189
   1601    406   9999      1     60    189
   1601    407      0      0     60    190
   1601    408    260      4     60    191
   1601    409    240     14     40    195
   1601    410    220      9     20    205
   1601    411    310      1     20    208
   1601    412    190      3     15    212
   1601    413     30      2     15    214
   1601    414   9999      1     15    223
   1601    415    180     28     20    220
   1601    416    210     13     20    222
   1601    417    160     13     40    217
   1601    418    210      8     60    210
   1601    419   9999      1     60    206
   1601    420   9999      3     60    204
   1601    421    200     12     60    203
   1601    422    170      5     60    202
   1601    423    310      2     60    201
   1601    424    180      1     60    201
   1601    501   9999      1     60    199
   1601    502    270      7     60    198
   1601    503    260      1     60    199
   1601    504    270     11     60    198
   1601    505    260     24     50    199
   1601    506    350     11     60    200
   1601    507    260     13     60    201
   1601    508    220     17     60    201
   1601    509     90      2     40    202
   1601    510    220     10     60    202
   1601    511    200     11     60    201
   1601    512    220     19     20    199
   1601    513    220      3     20    200
   1601    514    340     43     40    199
   1601    515    160     24     50    202
   1601    516    190      5     60    205
   1601    517    210      3     40    209
   1601    518   9999      2     60    206
   1601    519    300      6     60    203
   1601    520    280      4     60    198
   1601    521    300      9     60    196
   1601    522   9999      1     60    197
   1601    523    300      6     60    197
   1601    524     30      4     60    198
   1601    601   9999      3     60    195
   1601    602   9999      1     60    194
   1601    603    170      2     60    193
   1601    604    330      3     60    194
   1601    605     30      7     60    195
   1601    606     10     30     45    196
   1601    607    360     26     55    192
   1601    608     70     11     60    193
   1601    609     30     23     40    199
   1601    610     10     29     20    210
   1601    611     20     33     25    221
   1601    612    360     37     20    231
   1601    613    360     32     20    234
   1601    614     70     11     10    232
   1601    615     10     42     25    237
   1601    616     10     34     30    236
   1601    617     20     37     40    231
   1601    618     20     37     40    221
   1601    619     20     44     40    209
   1601    620     20     18     60    199
   1601    621     10     49     45    196
   1601    622     20     73     40    192
   1601    623     10     62     40    186
   1601    624     20     13     60    182
