   yymm   ddhh    dir  speed   PASQ   TEMP
   1501    101    360     22     60    141
   1501    102    350     14     60    140
   1501    103     20      5     60    135
   1501    104    360     10     60    133
   1501    105     10     35     50    144
   1501    106     10     52     40    142
   1501    107     10     45     50    141
   1501    108     20     43     50    144
   1501    109     30     66     40    149
   1501    110     30     75     40    154
   1501    111     20     62     40    163
   1501    112     30     35     20    173
   1501    113     50     19     10    178
   1501    114     40     38     20    183
   1501    115    190     32     25    176
   1501    116    190     37     25    172
   1501    117   9999      5     40    166
   1501    118    100      8     60    160
   1501    119   9999      1     60    142
   1501    120    240      5     60    135
   1501    121    330      7     60    134
   1501    122    340      7     60    138
   1501    123    310      1     60    135
   1501    124     70     26     60    152
   1501    201     80     49     50    156
   1501    202     70     64     40    152
   1501    203     60     28     60    146
   1501    204     20     22     60    142
   1501    205     10     30     50    135
   1501    206    360     24     60    127
   1501    207     20     42     50    123
   1501    208    360     27     60    123
   1501    209     20     21     40    134
   1501    210    210      6     15    140
   1501    211    190     11     15    151
   1501    212    130     22     15    158
   1501    213    120     26     15    158
   1501    214    170     43     20    155
   1501    215    170     36     25    154
   1501    216    160     24     20    154
   1501    217    150     28     40    151
   1501    218    100     18     60    150
   1501    219    320      7     60    138
   1501    220    310      8     60    132
   1501    221   9999      4     60    135
   1501    222    340      6     60    130
   1501    223    320      8     60    130
   1501    224    340      6     60    130
   1501    301     70     34     50    145
   1501    302     70     44     50    147
   1501    303     70     43     50    145
   1501    304     50     24     60    141
   1501    305    360     13     60    128
   1501    306    340     15     60    122
   1501    307     40     24     60    127
   1501    308    360      3     60    134
   1501    309    190      5     40    146
   1501    310   9999      3     15    152
   1501    311    120     45     25    167
   1501    312    150     19     10    165
   1501    313    120     18     10    165
   1501    314    190     40     20    168
   1501    315    190     33     25    166
   1501    316    140     19     15    169
   1501    317    140     17     40    161
   1501    318    120      9     60    154
   1501    319    270      8     60    140
   1501    320    210      1     60    135
   1501    321   9999      1     60    134
   1501    322    330      8     60    136
   1501    323    340      9     60    145
   1501    324    340     12     60    143
   1501    401    310      5     60    148
   1501    402   9999      1     60    145
   1501    403     40      4     60    145
   1501    404    180      4     60    137
   1501    405    330      3     60    136
   1501    406     50      4     60    140
   1501    407     10      2     60    139
   1501    408    280      4     60    142
   1501    409   9999      1     40    153
   1501    410   9999      1     20    169
   1501    411    180      9     15    176
   1501    412    180     30     20    182
   1501    413    190     30     20    185
   1501    414    200     33     20    184
   1501    415    190     30     25    180
   1501    416    200     28     20    179
   1501    417    230     17     40    176
   1501    418    110      5     60    172
   1501    419    250      2     60    169
   1501    420    230      4     60    170
   1501    421   9999      1     60    170
   1501    422    210      5     60    170
   1501    423    340      2     60    172
   1501    424    200      2     60    172
   1501    501   9999      1     60    174
   1501    502    190      6     60    174
   1501    503   9999      1     60    174
   1501    504    240      5     60    175
   1501    505   9999      1     60    175
   1501    506    200     12     60    180
   1501    507    220      5     60    180
   1501    508    240      9     60    182
   1501    509    250     10     40    186
   1501    510    170     18     20    189
   1501    511    220     16     20    192
   1501    512    200     11     15    196
   1501    513    210      3     15    202
   1501    514    220      5     15    206
   1501    515    190     10     15    208
   1501    516    210     24     30    203
   1501    517    200     15     40    196
   1501    518    200     11     60    192
   1501    519    260      3     60    188
   1501    520    190     12     60    185
   1501    521   9999      2     60    183
   1501    522    150     11     60    181
   1501    523   9999      1     60    179
   1501    524    150     10     60    178
   1501    601    250      3     60    178
   1501    602    220      2     60    178
   1501    603   9999      1     60    177
   1501    604    100      3     60    177
   1501    605      0      0     60    173
   1501    606      0      0     60    173
   1501    607   9999      1     60    173
   1501    608   9999      1     60    174
   1501    609   9999      1     40    180
   1501    610    180      7     20    194
   1501    611    170     28     20    194
   1501    612    170     40     20    202
   1501    613    180     32     20    198
   1501    614    190     34     20    195
   1501    615    190     35     25    197
   1501    616    210     23     20    194
   1501    617    190     21     40    190
   1501    618    200     17     60    186
   1501    619   9999      3     60    182
   1501    620     50      4     60    181
   1501    621      0      0     60    180
   1501    622    100      8     60    180
   1501    623    100      8     60    178
   1501    624   9999      1     60    176
   1501    701   9999      3     60    175
   1501    702     70     10     60    172
   1501    703     40      5     60    171
   1501    704    180      5     60    171
   1501    705    170      2     60    173
   1501    706    200      7     60    174
   1501    707     60      1     60    174
   1501    708     90      4     60    175
   1501    709     20     30     40    171
   1501    710     40     42     40    174
   1501    711     20     38     30    172
   1501    712     10     31     30    174
   1501    713     10     44     30    176
   1501    714    360     21     30    181
   1501    715     20     40     30    178
   1501    716    360     23     30    183
   1501    717     10     25     40    183
   1501    718     40     27     60    173
   1501    719     30     34     50    167
   1501    720     20     49     45    163
   1501    721     20     56     40    159
   1501    722     20     26     50    156
   1501    723     30     32     40    154
   1501    724   9999     27     50    149
   1501    801    360     19     60    147
   1501    802     40     40     40    143
   1501    803     20     71     40    137
   1501    804     30     68     40    135
   1501    805     40     62     40    135
   1501    806     30     51     40    129
   1501    807     20     41     40    123
   1501    808     50     31     50    124
   1501    809     40     66     40    129
   1501    810     20     43     25    143
   1501    811     20     55     30    149
   1501    812     30     30     20    160
   1501    813     90     35     20    164
   1501    814     80     32     20    165
   1501    815    120     31     25    166
   1501    816    180     31     25    162
   1501    817    180     21     40    158
   1501    818    140     10     60    154
   1501    819     10      3     60    144
   1501    820    270      5     60    135
   1501    821    320      6     60    132
   1501    822    330      8     60    132
   1501    823    350      5     60    132
   1501    824    340      6     60    131
   1501    901    360     11     60    138
   1501    902    350      7     60    142
   1501    903    350      8     60    142
   1501    904     10     23     60    142
   1501    905     10     23     60    138
   1501    906    360     23     55    134
   1501    907    360     32     45    129
   1501    908     10     21     60    130
   1501    909     10     26     40    137
   1501    910     30     16     20    142
   1501    911    110     20     20    151
   1501    912    130     32     20    159
   1501    913    140     35     20    161
   1501    914    120     36     20    162
   1501    915    170     40     25    159
   1501    916    200     25     20    161
   1501    917    220     13     40    156
   1501    918    100      6     60    154
   1501    919    260     18     60    141
   1501    920    320      8     60    133
   1501    921   9999      1     60    129
   1501    922    300      2     60    126
   1501    923   9999      1     60    124
   1501    924   9999      1     60    122
   1501   1001   9999      2     60    121
   1501   1002   9999      1     60    119
   1501   1003    360      7     60    126
   1501   1004    340      7     60    127
   1501   1005    330      1     60    119
   1501   1006    300      3     60    117
   1501   1007    350     11     60    128
   1501   1008    360      5     60    128
   1501   1009     40      9     40    144
   1501   1010   9999      5     15    157
   1501   1011     40     17     15    168
   1501   1012     50     34     20    178
   1501   1013     80     39     20    179
   1501   1014    120     18     10    183
   1501   1015    110     37     25    184
   1501   1016    140     19     15    181
   1501   1017    180      8     40    177
   1501   1018    130     17     60    170
   1501   1019   9999      2     60    156
   1501   1020    320      6     60    151
   1501   1021     30     13     60    156
   1501   1022     40      7     60    155
   1501   1023     40      8     60    155
   1501   1024     50     24     60    158
   1501   1101     50     27     50    159
   1501   1102     70     36     40    160
   1501   1103     60     35     40    157
   1501   1104    350     12     60    145
   1501   1105     10     19     60    147
   1501   1106    360     27     50    145
   1501   1107     30     33     40    143
   1501   1108    360     17     60    140
   1501   1109     20     20     40    143
   1501   1110     30     43     40    149
   1501   1111     30     54     40    151
   1501   1112     20     43     20    165
   1501   1113     60     33     20    174
   1501   1114     50     20     20    182
   1501   1115     50     16     15    189
   1501   1116     40     26     30    187
   1501   1117     40     26     40    181
   1501   1118    120     16     60    173
   1501   1119     20     15     60    172
   1501   1120     40     15     60    170
   1501   1121     10     20     50    168
   1501   1122     20     23     50    165
   1501   1123     70     18     60    167
   1501   1124    100     52     40    170
   1501   1201     80     56     40    170
   1501   1202     60     37     40    166
   1501   1203     10     31     40    159
   1501   1204     20     50     40    152
   1501   1205    360     32     40    150
   1501   1206     30     53     40    148
   1501   1207     30     61     40    139
   1501   1208     20     55     40    135
   1501   1209     20     57     40    134
   1501   1210     20     46     30    138
   1501   1211     10     39     40    140
   1501   1212    350     43     40    135
   1501   1213    360     42     40    130
   1501   1214     20     60     40    124
   1501   1215     10     54     40    127
   1501   1216     10     63     40    121
   1501   1217     20     92     40    118
   1501   1218     20     75     40    121
   1501   1219     30     87     40    124
   1501   1220     20     54     40    119
   1501   1221     10     55     40    122
   1501   1222     20     81     40    118
   1501   1223     10     83     40    119
   1501   1224     30     86     40    118
   1501   1301     20     41     40    116
   1501   1302     10     39     40    116
   1501   1303     10     44     40    116
   1501   1304     20     55     40    115
   1501   1305    330     25     50    114
   1501   1306     10     41     40    119
   1501   1307    360     39     40    120
   1501   1308   9999      3     40    121
   1501   1309     10     36     40    123
   1501   1310     30     37     40    122
   1501   1311     10      9     40    124
   1501   1312     30     35     40    128
   1501   1313    230     12     20    133
   1501   1314     20     26     30    133
   1501   1315    310      9     20    133
   1501   1316     40     32     30    135
   1501   1317    360     31     40    136
   1501   1318     30     18     60    134
   1501   1319     20     43     45    134
   1501   1320     40     26     55    131
   1501   1321     30     53     40    127
   1501   1322     10     46     50    122
   1501   1323    350     54     40    121
   1501   1324     20     69     40    119
   1501   1401    350     35     50    114
   1501   1402     10     36     50    113
   1501   1403    360     67     40    112
   1501   1404     20     50     40    112
   1501   1405    350     12     60    108
   1501   1406     20     66     40    111
   1501   1407    360     53     40    109
   1501   1408     20     37     45    114
   1501   1409     10     87     40    120
   1501   1410     20     56     35    130
   1501   1411     30     73     30    137
   1501   1412     20     74     30    145
   1501   1413     30     62     30    152
   1501   1414     30     56     30    161
   1501   1415     30     62     30    165
   1501   1416     10     52     35    171
   1501   1417    350     29     40    171
   1501   1418    350     23     60    162
   1501   1419    350     32     50    160
   1501   1420   9999      6     60    153
   1501   1421     40      9     60    148
   1501   1422     10     32     50    137
   1501   1423     10     43     50    130
   1501   1424     10     25     60    124
   1501   1501     30     30     50    121
   1501   1502    360     16     60    118
   1501   1503     40     25     60    123
   1501   1504     30     54     40    124
   1501   1505     20     38     50    119
   1501   1506     10     32     50    112
   1501   1507    350     18     60    110
   1501   1508     20     32     50    116
   1501   1509     10     45     40    123
   1501   1510     30     44     25    136
   1501   1511     30     27     15    143
   1501   1512     70     43     20    155
   1501   1513    170     15     10    160
   1501   1514    100     13     10    166
   1501   1515    130     17     10    175
   1501   1516    180     23     20    163
   1501   1517    220     14     40    161
   1501   1518    340      6     60    152
   1501   1519    310      5     60    140
   1501   1520    360      3     60    131
   1501   1521    340      7     60    129
   1501   1522   9999      2     60    134
   1501   1523   9999      1     60    128
   1501   1524    300     13     60    134
   1501   1601    330      7     60    140
   1501   1602    310      5     60    146
   1501   1603    350     10     60    145
   1501   1604    290     11     60    140
   1501   1605     10     13     60    140
   1501   1606     30      8     60    141
   1501   1607     30     28     60    144
   1501   1608     20     30     45    144
   1501   1609     30     37     40    150
   1501   1610     20     44     25    163
   1501   1611     20     36     20    176
   1501   1612     10     47     20    185
   1501   1613     30     46     20    185
   1501   1614    170     29     15    183
   1501   1615    180     43     25    169
   1501   1616    180     43     25    165
   1501   1617    190     24     40    163
   1501   1618    210     10     60    158
   1501   1619   9999      1     60    149
   1501   1620    320      4     60    144
   1501   1621    320      2     60    138
   1501   1622    350      7     60    138
   1501   1623   9999      5     60    144
   1501   1624     20     31     50    155
   1501   1701     30     25     60    154
   1501   1702    360     37     50    152
   1501   1703    360     51     40    151
   1501   1704     20     63     40    147
   1501   1705     10     44     50    143
   1501   1706     20     40     50    141
   1501   1707     20     35     50    136
   1501   1708     10     41     50    138
   1501   1709     30     29     40    146
   1501   1710     30     49     25    157
   1501   1711     60     46     25    169
   1501   1712     90     62     30    170
   1501   1713    100     68     30    165
   1501   1714    100     45     20    166
   1501   1715     80     55     35    165
   1501   1716    110     38     25    166
   1501   1717    110     29     40    164
   1501   1718    160     19     60    160
   1501   1719    320      6     60    149
   1501   1720    320      8     60    145
   1501   1721    340      7     60    142
   1501   1722    310      8     60    135
   1501   1723    320      7     60    137
   1501   1724    330     11     60    136
   1501   1801    330      9     60    139
   1501   1802     50     20     60    144
   1501   1803   9999      2     60    136
   1501   1804     90     29     60    145
   1501   1805     60     43     50    142
   1501   1806     70     37     45    140
   1501   1807     70     31     50    137
   1501   1808     60     20     60    134
   1501   1809     80     47     40    144
   1501   1810     70     24     20    150
   1501   1811     50     40     25    157
   1501   1812     30     31     20    164
   1501   1813    360     40     20    171
   1501   1814     30     55     30    178
   1501   1815     20     43     25    186
   1501   1816     30     50     35    191
   1501   1817     10     23     40    190
   1501   1818     20     25     60    183
   1501   1819    360      4     60    175
   1501   1820     10     22     60    172
   1501   1821     10     35     50    170
   1501   1822     10     32     50    164
   1501   1823     20     47     50    163
   1501   1824     10     42     50    154
   1501   1901     10     46     50    149
   1501   1902     10     47     50    145
   1501   1903    360     42     50    142
   1501   1904     20     39     50    136
   1501   1905     10     45     50    134
   1501   1906     20     48     50    130
   1501   1907     10     39     45    128
   1501   1908     10     35     40    130
   1501   1909     20     16     40    135
   1501   1910     30     42     25    152
   1501   1911     30     47     25    162
   1501   1912     30     24     15    174
   1501   1913     80      9     10    180
   1501   1914     30     22     15    185
   1501   1915     90     32     20    188
   1501   1916    130     38     25    181
   1501   1917    110     32     40    168
   1501   1918    180     13     60    161
   1501   1919    300      7     60    147
   1501   1920    340      4     60    143
   1501   1921    280      4     60    134
   1501   1922   9999      4     60    131
   1501   1923    260      1     60    128
   1501   1924   9999      1     60    126
   1501   2001    260      3     60    133
   1501   2002     80     20     60    144
   1501   2003     80     57     40    151
   1501   2004     70     43     50    147
   1501   2005     70     19     60    144
   1501   2006   9999      5     60    136
   1501   2007    350      9     60    130
   1501   2008     10      7     60    135
   1501   2009     50     11     40    150
   1501   2010     80     33     30    157
   1501   2011    120     25     20    164
   1501   2012    130     23     20    172
   1501   2013    180     46     20    173
   1501   2014    190     52     30    170
   1501   2015    170     31     25    169
   1501   2016    200     23     20    166
   1501   2017    130      4     40    154
   1501   2018    180      3     60    152
   1501   2019    250      4     60    143
   1501   2020    290      2     60    142
   1501   2021    340      7     60    138
   1501   2022    130      1     60    133
   1501   2023    330      3     60    133
   1501   2024   9999      1     60    130
   1501   2101      0      0     60    126
   1501   2102      0      0     60    123
   1501   2103    320      3     60    121
   1501   2104      0      0     60    118
   1501   2105   9999      3     60    119
   1501   2106    210      3     60    119
   1501   2107    350      6     60    119
   1501   2108    230      3     60    131
   1501   2109    120      7     40    149
   1501   2110     60     16     20    153
   1501   2111     60      2     15    164
   1501   2112     40      6     15    184
   1501   2113     30     35     25    197
   1501   2114    180     36     25    180
   1501   2115    190     33     25    181
   1501   2116    190     18     15    182
   1501   2117    200      6     40    183
   1501   2118     50      3     60    174
   1501   2119    210      1     60    161
   1501   2120    360      8     60    155
   1501   2121   9999      1     60    147
   1501   2122    330      6     60    145
   1501   2123    200      1     60    139
   1501   2124    350     17     60    156
   1501   2201    350     31     50    179
   1501   2202    350     27     60    175
   1501   2203     10     24     60    171
   1501   2204     10     45     50    167
   1501   2205    360     63     40    164
   1501   2206     10     53     40    161
   1501   2207    360     45     50    158
   1501   2208     10     22     60    157
   1501   2209     20     47     40    171
   1501   2210     30     34     25    181
   1501   2211     90     27     15    191
   1501   2212     80     44     20    202
   1501   2213    120     43     20    198
   1501   2214    170     34     20    182
   1501   2215    180     34     20    183
   1501   2216    190     29     20    181
   1501   2217    200     13     40    176
   1501   2218    210     13     60    161
   1501   2219    260      9     60    148
   1501   2220    270      2     60    138
   1501   2221      0      0     60    129
   1501   2222   9999      1     60    125
   1501   2223    360      1     60    125
   1501   2224   9999      1     60    119
   1501   2301    330      5     60    120
   1501   2302   9999      2     60    118
   1501   2303   9999      3     60    120
   1501   2304    250      4     60    120
   1501   2305    310      2     60    124
   1501   2306      0      0     60    116
   1501   2307   9999      1     60    112
   1501   2308   9999      1     60    124
   1501   2309    200     12     40    149
   1501   2310    120     43     25    166
